3x3,  9995.txt, astar, disjointPDBMax,    19, 1.13,    16,  6436
3x3,  9996.txt, astar, disjointPDBMax,    16, 1.12,    16,  6458
3x3,  9997.txt, astar, disjointPDBMax,    16, 1.12,    16,  6428
3x3,  9998.txt, astar, disjointPDBMax,    18, 1.13,    16,  6440
3x3,  9999.txt, astar, disjointPDBMax,    26, 1.16,    16,  6506
3x3, 17378.txt, astar, disjointPDBMax,    18, 1.12,    17,  6522
3x3, 17379.txt, astar, disjointPDBMax,    29, 1.16,    17,  6441
3x3, 17380.txt, astar, disjointPDBMax,    17, 1.11,    17,  6399
3x3, 17381.txt, astar, disjointPDBMax,    19, 1.12,    17,  6567
3x3, 17382.txt, astar, disjointPDBMax,    17, 1.11,    17,  6447
3x3, 17383.txt, astar, disjointPDBMax,    20, 1.12,    17,  6828
3x3, 17384.txt, astar, disjointPDBMax,    19, 1.12,    17,  7120
3x3, 17385.txt, astar, disjointPDBMax,    17, 1.11,    17,  6815
3x3, 17386.txt, astar, disjointPDBMax,    19, 1.12,    17,  7377
3x3, 17387.txt, astar, disjointPDBMax,    17, 1.11,    17,  8006
3x3, 17388.txt, astar, disjointPDBMax,    83, 1.26,    17, 17426
3x3, 17389.txt, astar, disjointPDBMax,    17, 1.11,    17, 17320
3x3, 17390.txt, astar, disjointPDBMax,    31, 1.16,    17,  6935
3x3, 17391.txt, astar, disjointPDBMax,    25, 1.14,    17,  6790
3x3, 17392.txt, astar, disjointPDBMax,    26, 1.15,    17,  6961
3x3, 17393.txt, astar, disjointPDBMax,    17, 1.11,    17, 11569
3x3, 17394.txt, astar, disjointPDBMax,   240, 1.36,    17,  7028
3x3, 17395.txt, astar, disjointPDBMax,    23, 1.14,    17,  6889
3x3, 17396.txt, astar, disjointPDBMax,    18, 1.11,    17,  7008
3x3, 17397.txt, astar, disjointPDBMax,    29, 1.15,    17,  8979
3x3, 17398.txt, astar, disjointPDBMax,    20, 1.13,    17,  6890
3x3, 17399.txt, astar, disjointPDBMax,    17, 1.11,    17,  9456
3x3, 17400.txt, astar, disjointPDBMax,    23, 1.14,    17,  7954
3x3, 17401.txt, astar, disjointPDBMax,    41, 1.20,    17,  7153
3x3, 17402.txt, astar, disjointPDBMax,    31, 1.17,    17, 12886
3x3, 26907.txt, astar, disjointPDBMax,    18, 1.10,    18, 16873
3x3, 26908.txt, astar, disjointPDBMax,    29, 1.15,    18, 16585
3x3, 26909.txt, astar, disjointPDBMax,    44, 1.18,    18, 16588
3x3, 26910.txt, astar, disjointPDBMax,    20, 1.11,    18,  8739
3x3, 26911.txt, astar, disjointPDBMax,    18, 1.10,    18,  7016
3x3, 26912.txt, astar, disjointPDBMax,    35, 1.17,    18,  6761
3x3, 26913.txt, astar, disjointPDBMax,    48, 1.19,    18, 11044
3x3, 26914.txt, astar, disjointPDBMax,    33, 1.15,    18,  6791
3x3, 26915.txt, astar, disjointPDBMax,    64, 1.21,    18,  6973
3x3, 26916.txt, astar, disjointPDBMax,    34, 1.16,    18,  6967
3x3, 26917.txt, astar, disjointPDBMax,    34, 1.16,    18,  7000
3x3, 26918.txt, astar, disjointPDBMax,   184, 1.31,    18,  7306
3x3, 26919.txt, astar, disjointPDBMax,    20, 1.11,    18, 11929
3x3, 26920.txt, astar, disjointPDBMax,    18, 1.11,    18,  8445
3x3, 26921.txt, astar, disjointPDBMax,    40, 1.17,    18,  7136
3x3, 26922.txt, astar, disjointPDBMax,    27, 1.14,    18, 12378
3x3, 26923.txt, astar, disjointPDBMax,    26, 1.13,    18, 17124
3x3, 26924.txt, astar, disjointPDBMax,    20, 1.11,    18, 16865
3x3, 26925.txt, astar, disjointPDBMax,    26, 1.13,    18, 16904
3x3, 26926.txt, astar, disjointPDBMax,    19, 1.11,    18, 16412
3x3, 26927.txt, astar, disjointPDBMax,    31, 1.16,    18,  7045
3x3, 26928.txt, astar, disjointPDBMax,    18, 1.10,    18,  8720
