3x3,  1835.txt, astar, disjointPDBVertical,   242, 1.59,    12,  4724
3x3,  1836.txt, astar, disjointPDBVertical,    13, 1.17,    12,  4803
3x3,  1837.txt, astar, disjointPDBVertical,    12, 1.14,    12,  4765
3x3,  1838.txt, astar, disjointPDBVertical,    14, 1.18,    12,  4855
3x3,  1839.txt, astar, disjointPDBVertical,   217, 1.57,    12,  4830
3x3,  1840.txt, astar, disjointPDBVertical,    12, 1.14,    12,  4710
3x3,  1841.txt, astar, disjointPDBVertical,    23, 1.24,    12,  4831
3x3,  1842.txt, astar, disjointPDBVertical,    24, 1.26,    12,  4752
3x3,  1843.txt, astar, disjointPDBVertical,    13, 1.17,    12,  4691
3x3,  1844.txt, astar, disjointPDBVertical,    21, 1.23,    12,  4729
3x3,  1845.txt, astar, disjointPDBVertical,    14, 1.18,    12,  4905
3x3,  1846.txt, astar, disjointPDBVertical,    12, 1.16,    12,  4794
3x3,  1847.txt, astar, disjointPDBVertical,    12, 1.15,    12,  4760
3x3,  1848.txt, astar, disjointPDBVertical,    12, 1.13,    12,  4790
3x3,  1849.txt, astar, disjointPDBVertical,    23, 1.25,    12,  4775
3x3,  1850.txt, astar, disjointPDBVertical,   300, 1.62,    12,  4792
3x3,  2850.txt, astar, disjointPDBVertical,    13, 1.14,    13,  4853
3x3,  2851.txt, astar, disjointPDBVertical,    27, 1.24,    13,  4680
3x3,  2852.txt, astar, disjointPDBVertical,    13, 1.15,    13,  4822
3x3,  2853.txt, astar, disjointPDBVertical,    13, 1.14,    13,  4803
3x3,  2854.txt, astar, disjointPDBVertical,    18, 1.19,    13,  4854
3x3,  2855.txt, astar, disjointPDBVertical,    13, 1.15,    13,  4925
3x3,  2856.txt, astar, disjointPDBVertical,    13, 1.14,    13,  4803
3x3,  2857.txt, astar, disjointPDBVertical,    17, 1.18,    13,  4753
3x3,  2858.txt, astar, disjointPDBVertical,    13, 1.15,    13,  4729
3x3,  2859.txt, astar, disjointPDBVertical,    13, 1.15,    13,  4779
3x3,  2860.txt, astar, disjointPDBVertical,    14, 1.15,    13,  4694
3x3,  2861.txt, astar, disjointPDBVertical,   195, 1.49,    13,  4711
3x3,  2862.txt, astar, disjointPDBVertical,    14, 1.14,    13,  4894
3x3,  2863.txt, astar, disjointPDBVertical,    18, 1.18,    13,  4752
3x3,  2864.txt, astar, disjointPDBVertical,    14, 1.15,    13,  4707
3x3,  2865.txt, astar, disjointPDBVertical,    15, 1.16,    13,  4702
3x3,  2866.txt, astar, disjointPDBVertical,    14, 1.15,    13,  4709
3x3,  2867.txt, astar, disjointPDBVertical,    14, 1.15,    13,  4762
3x3,  2868.txt, astar, disjointPDBVertical,    15, 1.16,    13,  4686
3x3,  2869.txt, astar, disjointPDBVertical,    13, 1.13,    13,  4743
3x3,  2870.txt, astar, disjointPDBVertical,    13, 1.15,    13,  4814
