size,heur,expanded,branching,cost,time
3x3,disjointPDBMax,25,1.14,17,6790
3x3,disjointPDBMax,45,1.17,19,6790
3x3,nonAdditiveMax,45,1.17,19,6789
3x3,disjointPDBHorizontal,3043,1.57,18,6787
3x3,disjointPDBMax,8,1.24,8,6779
3x3,disjointPDBMax,9,1.22,9,6774
3x3,disjointPDBMax,35,1.17,18,6761
3x3,disjointPDBMax,172,1.26,20,6717
3x3,disjointPDBMax,5,1.39,5,6712
3x3,disjointPDBMax,19,1.26,11,6680
3x3,disjointPDBMax,16,1.12,16,6673
3x3,disjointPDBMax,11,1.17,11,6652
3x3,disjointPDBMax,8,1.22,8,6649
3x3,disjointPDBMax,16,1.14,14,6646
3x3,disjointPDBMax,6,1.31,6,6626
3x3,disjointPDBMax,7,1.29,7,6626
3x3,disjointPDBMax,43,1.15,20,6605
3x3,disjointPDBMax,10,1.19,10,6599
3x3,disjointPDBMax,11,1.17,11,6599
3x3,disjointPDBMax,8,1.24,8,6597
3x3,disjointPDBMax,5,1.34,5,6596
3x3,disjointPDBMax,2,1.79,2,6594
3x3,disjointPDBMax,25,1.11,20,6594
3x3,disjointPDBMax,27,1.26,12,6593
3x3,disjointPDBMax,7,1.27,7,6592
3x3,disjointPDBMax,12,1.16,12,6592
3x3,disjointPDBMax,9,1.26,8,6589
3x3,disjointPDBMax,10,1.19,10,6586
3x3,disjointPDBMax,28,1.22,14,6580
3x3,disjointPDBMax,7,1.29,7,6579
3x3,disjointPDBMax,10,1.19,10,6578
3x3,disjointPDBMax,28,1.17,16,6572
3x3,disjointPDBMax,7,1.27,7,6571
3x3,disjointPDBMax,26,1.21,14,6571
3x3,disjointPDBMax,19,1.12,17,6567
4x4,NMaxSwap,508050,1.98,20,6565
3x3,disjointPDBMax,9,1.22,9,6563
3x3,disjointPDBMax,11,1.17,11,6563
3x3,disjointPDBMax,9,1.22,9,6553
3x3,disjointPDBMax,9,1.22,9,6551
3x3,disjointPDBMax,13,1.13,13,6549
3x3,disjointPDBMax,8,1.22,8,6547
