3x3, 17397.txt, ida, linearConflict,  3820, 1.53,    17,   212
3x3, 17398.txt, ida, linearConflict,   127, 1.20,    17,    41
3x3, 17399.txt, ida, linearConflict,    87, 1.16,    17,    33
3x3, 17400.txt, ida, linearConflict,   635, 1.35,    17,    89
3x3, 17401.txt, ida, linearConflict,  1849, 1.45,    17,   156
3x3, 17402.txt, ida, linearConflict,    93, 1.17,    17,    34
3x3, 26907.txt, ida, linearConflict,   361, 1.27,    18,    63
3x3, 26908.txt, ida, linearConflict, 18965, 1.64,    18,   444
3x3, 26909.txt, ida, linearConflict,  2308, 1.44,    18,   154
3x3, 26910.txt, ida, linearConflict,    40, 1.08,    18,    22
3x3, 26911.txt, ida, linearConflict,   163, 1.21,    18,    41
3x3, 26912.txt, ida, linearConflict,   988, 1.36,    18,   113
3x3, 26913.txt, ida, linearConflict,  1383, 1.39,    18,   114
3x3, 26914.txt, ida, linearConflict,  2888, 1.46,    18,   176
3x3, 26915.txt, ida, linearConflict,   696, 1.33,    18,    90
3x3, 26916.txt, ida, linearConflict,   115, 1.17,    18,    38
3x3, 26917.txt, ida, linearConflict,  1908, 1.42,    18,   149
3x3, 26918.txt, ida, linearConflict, 15336, 1.62,    18,   441
3x3, 26919.txt, ida, linearConflict,   955, 1.36,    18,   110
3x3, 26920.txt, ida, linearConflict,  1496, 1.40,    18,   141
3x3, 26921.txt, ida, linearConflict,  2720, 1.45,    18,   161
3x3, 26922.txt, ida, linearConflict,    35, 1.07,    18,    22
3x3, 26923.txt, ida, linearConflict,   349, 1.27,    18,    62
3x3, 26924.txt, ida, linearConflict,  2828, 1.46,    18,   186
3x3, 26925.txt, ida, linearConflict,  9320, 1.57,    18,   357
3x3, 26926.txt, ida, linearConflict,  2378, 1.44,    18,   169
3x3, 26927.txt, ida, linearConflict,   213, 1.23,    18,    50
3x3, 26928.txt, ida, linearConflict,   255, 1.24,    18,    54
3x3, 26929.txt, ida, linearConflict,   123, 1.18,    18,    37
3x3, 26930.txt, ida, linearConflict,   832, 1.35,    18,    97
3x3, 26931.txt, ida, linearConflict,  2192, 1.43,    18,   149
3x3, 37785.txt, ida, linearConflict,  1117, 1.35,    19,   109
3x3, 37786.txt, ida, linearConflict,   104, 1.15,    19,    33
3x3, 37787.txt, ida, linearConflict,   574, 1.29,    19,    74
3x3, 37788.txt, ida, linearConflict,  1960, 1.39,    19,   142
3x3, 37789.txt, ida, linearConflict,  2132, 1.40,    19,   154
3x3, 37790.txt, ida, linearConflict,  4278, 1.46,    19,   204
3x3, 37791.txt, ida, linearConflict,  4184, 1.46,    19,   195
3x3, 37792.txt, ida, linearConflict,  6621, 1.50,    19,   247
3x3, 37793.txt, ida, linearConflict,    94, 1.14,    19,    33
