3x3,  9982.txt, astar, nonAdditiveFringe,    17, 1.13,    16,  5090
3x3,  9983.txt, astar, nonAdditiveFringe,    16, 1.11,    16,  5103
3x3,  9984.txt, astar, nonAdditiveFringe,   951, 1.53,    16,  5074
3x3,  9985.txt, astar, nonAdditiveFringe,   253, 1.39,    16,  5044
3x3,  9986.txt, astar, nonAdditiveFringe,  1242, 1.56,    16,  4970
3x3,  9987.txt, astar, nonAdditiveFringe,  1652, 1.59,    16,  5165
3x3,  9988.txt, astar, nonAdditiveFringe,    91, 1.29,    16,  5101
3x3,  9989.txt, astar, nonAdditiveFringe,    28, 1.17,    16,  5055
3x3,  9990.txt, astar, nonAdditiveFringe,    17, 1.13,    16,  5163
3x3,  9991.txt, astar, nonAdditiveFringe,    24, 1.16,    16,  5171
3x3,  9992.txt, astar, nonAdditiveFringe,    33, 1.19,    16,  5030
3x3,  9993.txt, astar, nonAdditiveFringe,    16, 1.12,    16,  5069
3x3,  9994.txt, astar, nonAdditiveFringe,    17, 1.12,    16,  5138
3x3,  9995.txt, astar, nonAdditiveFringe,    17, 1.12,    16,  5115
3x3,  9996.txt, astar, nonAdditiveFringe,    16, 1.12,    16,  4985
3x3,  9997.txt, astar, nonAdditiveFringe,  2248, 1.63,    16,  5243
3x3,  9998.txt, astar, nonAdditiveFringe,    32, 1.19,    16,  5010
3x3,  9999.txt, astar, nonAdditiveFringe,   319, 1.41,    16,  5144
3x3, 17378.txt, astar, nonAdditiveFringe,    18, 1.12,    17,  5040
3x3, 17379.txt, astar, nonAdditiveFringe,    17, 1.11,    17,  5050
3x3, 17380.txt, astar, nonAdditiveFringe,    26, 1.14,    17,  5010
3x3, 17381.txt, astar, nonAdditiveFringe,    18, 1.12,    17,  5021
3x3, 17382.txt, astar, nonAdditiveFringe,    17, 1.11,    17,  5027
3x3, 17383.txt, astar, nonAdditiveFringe,    19, 1.12,    17,  5018
3x3, 17384.txt, astar, nonAdditiveFringe,  2743, 1.59,    17,  5475
3x3, 17385.txt, astar, nonAdditiveFringe,    25, 1.14,    17,  5484
3x3, 17386.txt, astar, nonAdditiveFringe,    18, 1.12,    17,  5897
3x3, 17387.txt, astar, nonAdditiveFringe,    19, 1.12,    17,  5994
3x3, 17388.txt, astar, nonAdditiveFringe,    18, 1.12,    17,  5429
3x3, 17389.txt, astar, nonAdditiveFringe,    17, 1.11,    17, 13402
3x3, 17390.txt, astar, nonAdditiveFringe,    17, 1.11,    17, 13744
3x3, 17391.txt, astar, nonAdditiveFringe,    17, 1.11,    17,  5369
3x3, 17392.txt, astar, nonAdditiveFringe,    50, 1.21,    17, 11390
3x3, 17393.txt, astar, nonAdditiveFringe,    18, 1.12,    17,  5352
3x3, 17394.txt, astar, nonAdditiveFringe,    33, 1.17,    17,  5544
3x3, 17395.txt, astar, nonAdditiveFringe,   124, 1.29,    17,  5402
3x3, 17396.txt, astar, nonAdditiveFringe,    17, 1.11,    17,  5325
3x3, 17397.txt, astar, nonAdditiveFringe,    33, 1.17,    17,  5484
3x3, 17398.txt, astar, nonAdditiveFringe,   257, 1.36,    17, 10130
3x3, 17399.txt, astar, nonAdditiveFringe,   276, 1.37,    17,  5710
3x3, 17400.txt, astar, nonAdditiveFringe,    18, 1.11,    17,  6385
3x3, 17401.txt, astar, nonAdditiveFringe,   276, 1.37,    17,  6084
3x3, 17402.txt, astar, nonAdditiveFringe,    31, 1.17,    17,  6898
3x3, 26907.txt, astar, nonAdditiveFringe,    42, 1.18,    18, 12832
3x3, 26908.txt, astar, nonAdditiveFringe,    40, 1.17,    18, 12961
3x3, 26909.txt, astar, nonAdditiveFringe,   307, 1.35,    18, 12551
