3x3,  7262.txt, astar, NMaxSwap, 1384673, 2.66,    15, 30419
3x3,  7263.txt, astar, NMaxSwap, 175901, 2.31,    15,  1403
3x3,  7264.txt, astar, NMaxSwap, 209873, 2.34,    15,  1599
3x3,  7265.txt, astar, NMaxSwap, 69371, 2.17,    15,   734
3x3,  7266.txt, astar, NMaxSwap, 30939, 2.05,    15,   459
3x3,  7267.txt, astar, NMaxSwap,   187, 1.40,    15,    62
3x3,  7268.txt, astar, NMaxSwap, 139989, 2.27,    15,  1200
3x3,  7269.txt, astar, NMaxSwap, 111355, 2.24,    15,  1046
3x3,  7270.txt, astar, NMaxSwap, 707891, 2.54,    15,  4885
3x3,  7271.txt, astar, NMaxSwap, 10801, 1.89,    15,   284
3x3,  7272.txt, astar, NMaxSwap, 13266, 1.92,    15,   309
3x3,  7273.txt, astar, NMaxSwap,  2034, 1.68,    15,   155
3x3,  7274.txt, astar, NMaxSwap,  3140, 1.73,    15,   179
3x3,  7275.txt, astar, NMaxSwap, 213754, 2.34,    15,  1624
3x3,  7276.txt, astar, NMaxSwap, 132226, 2.26,    15,  1142
3x3,  7277.txt, astar, NMaxSwap, 68368, 2.16,    15,   738
3x3,  7278.txt, astar, NMaxSwap, 49336, 2.11,    15,   573
3x3,  7279.txt, astar, NMaxSwap, 15872, 1.95,    15,   327
3x3,  9975.txt, astar, NMaxSwap, 67644, 2.05,    16,   700
3x3,  9976.txt, astar, NMaxSwap, 75138, 2.06,    16,   762
3x3,  9977.txt, astar, NMaxSwap,  4015, 1.70,    16,   207
3x3,  9978.txt, astar, NMaxSwap,  9549, 1.80,    16,   286
3x3,  9979.txt, astar, NMaxSwap, 146679, 2.17,    16,  1307
3x3,  9980.txt, astar, NMaxSwap, 50853, 2.02,    16,   612
3x3,  9981.txt, astar, NMaxSwap, 17680, 1.88,    16,   345
3x3,  9982.txt, astar, NMaxSwap,  6439, 1.76,    16,   249
3x3,  9983.txt, astar, NMaxSwap, 150657, 2.16,    16,  1271
3x3,  9984.txt, astar, NMaxSwap, 77284, 2.08,    16,   787
3x3,  9985.txt, astar, NMaxSwap, 70697, 2.06,    16,   724
3x3,  9986.txt, astar, NMaxSwap, 19292, 1.89,    16,   364
3x3,  9987.txt, astar, NMaxSwap, 85416, 2.09,    16,   875
3x3,  9988.txt, astar, NMaxSwap,  4885, 1.72,    16,   225
3x3,  9989.txt, astar, NMaxSwap,  9222, 1.79,    16,   275
3x3,  9990.txt, astar, NMaxSwap, 17880, 1.87,    16,   334
3x3,  9991.txt, astar, NMaxSwap,  5231, 1.73,    16,   222
3x3,  9992.txt, astar, NMaxSwap, 19185, 1.89,    16,   352
3x3,  9993.txt, astar, NMaxSwap, 10690, 1.80,    16,   285
3x3,  9994.txt, astar, NMaxSwap, 90906, 2.09,    16,   847
3x3,  9995.txt, astar, NMaxSwap, 98326, 2.11,    16,  1001
3x3,  9996.txt, astar, NMaxSwap, 129973, 2.14,    16,  1185
3x3,  9997.txt, astar, NMaxSwap,  8438, 1.78,    16,   264
3x3,  9998.txt, astar, NMaxSwap, 55173, 1.87,    18,   659
3x3,  9999.txt, astar, NMaxSwap, 27512, 1.94,    16,   435
3x3, 17378.txt, astar, NMaxSwap, 11275, 1.76,    17,   304
3x3, 17379.txt, astar, NMaxSwap, 130161, 2.05,    17,  1146
3x3, 17380.txt, astar, NMaxSwap, 228287, 2.12,    17,  1816
3x3, 17381.txt, astar, NMaxSwap, 821704, 2.30,    17,  5884
3x3, 17382.txt, astar, NMaxSwap, 453618, 2.21,    17,  3278
3x3, 17383.txt, astar, NMaxSwap, 1892725, 2.43,    17, 31955
3x3, 17384.txt, astar, NMaxSwap, 26968, 1.85,    17,   423
3x3, 17385.txt, astar, NMaxSwap, 45553, 1.92,    17,   570
3x3, 17386.txt, astar, NMaxSwap, 525594, 2.24,    17,  3972
3x3, 17387.txt, astar, NMaxSwap, 148811, 2.07,    17,  1385
3x3, 17388.txt, astar, NMaxSwap, 51395, 1.93,    17,   612
3x3, 17389.txt, astar, NMaxSwap, 198139, 2.11,    17,  1674
3x3, 17390.txt, astar, NMaxSwap, 5819123, 2.57,    17, 108935
3x3, 17391.txt, astar, NMaxSwap, 619519, 2.26,    17,  4678
3x3, 17392.txt, astar, NMaxSwap, 165509, 1.91,    19,  1407
3x3, 17393.txt, astar, NMaxSwap, 354533, 2.18,    17,  2644
3x3, 17394.txt, astar, NMaxSwap, 463953, 2.22,    17,  3551
3x3, 17395.txt, astar, NMaxSwap, 63048, 1.95,    17,   689
3x3, 17396.txt, astar, NMaxSwap, 2336470, 2.44,    17, 48625
3x3, 17397.txt, astar, NMaxSwap, 1044969, 2.32,    17,  7243
3x3, 17398.txt, astar, NMaxSwap, 44193, 1.92,    17,   557
3x3, 17399.txt, astar, NMaxSwap, 42161, 1.91,    17,   562
3x3, 17400.txt, astar, NMaxSwap, 30187, 1.86,    17,   428
3x3, 17401.txt, astar, NMaxSwap, 43929, 1.91,    17,   573
3x3, 17402.txt, astar, NMaxSwap, 310143, 2.16,    17,  2304
3x3, 26907.txt, astar, NMaxSwap, 600641, 2.15,    18,  4450
3x3, 26908.txt, astar, NMaxSwap, 376438, 2.08,    18,  2723
3x3, 26909.txt, astar, NMaxSwap, 121421, 1.95,    18,  1042
3x3, 26910.txt, astar, NMaxSwap, 57673, 1.86,    18,   650
3x3, 26911.txt, astar, NMaxSwap, 697387, 1.99,    20,  4902
3x3, 26912.txt, astar, NMaxSwap, 155450, 1.98,    18,  1272
3x3, 26913.txt, astar, NMaxSwap, 76998, 1.90,    18,   767
3x3, 26914.txt, astar, NMaxSwap, 2076194, 2.32,    18, 49941
3x3, 26915.txt, astar, NMaxSwap, 91776, 1.92,    18,   888
3x3, 26916.txt, astar, NMaxSwap,  4856, 1.61,    18,   222
3x3, 26917.txt, astar, NMaxSwap, 157750, 1.84,    20,  1287
3x3, 26918.txt, astar, NMaxSwap, 226773, 2.03,    18,  1774
3x3, 26919.txt, astar, NMaxSwap, 982193, 2.21,    18,  7166
3x3, 26920.txt, astar, NMaxSwap, 465651, 2.12,    18,  3449
3x3, 26921.txt, astar, NMaxSwap, 221423, 2.02,    18,  1860
3x3, 26922.txt, astar, NMaxSwap, 195169, 2.02,    18,  1773
3x3, 26923.txt, astar, NMaxSwap, 702847, 2.16,    18,  5231
3x3, 26924.txt, astar, NMaxSwap, 1275426, 2.24,    18, 30071
3x3, 26925.txt, astar, NMaxSwap, 132695, 1.97,    18,  1188
3x3, 26926.txt, astar, NMaxSwap, 117266, 1.95,    18,  1094
3x3, 26927.txt, astar, NMaxSwap, 214278, 2.02,    18,  1825
3x3, 26928.txt, astar, NMaxSwap, 137270, 1.96,    18,  1234
3x3, 26929.txt, astar, NMaxSwap, 95167, 1.93,    18,   970
3x3, 26930.txt, astar, NMaxSwap, 259074, 2.04,    18,  1965
3x3, 26931.txt, astar, NMaxSwap, 498047, 2.12,    18,  3753
3x3, 37785.txt, astar, NMaxSwap, 960609, 2.11,    19,  7038
3x3, 37786.txt, astar, NMaxSwap, 42610, 1.77,    19,   534
3x3, 37787.txt, astar, NMaxSwap, 297811, 1.97,    19,  2339
3x3, 37788.txt, astar, NMaxSwap, 655254, 1.92,    21,  4651
3x3, 37789.txt, astar, NMaxSwap, 5276456, 2.32,    19, 107826
3x3, 37790.txt, astar, NMaxSwap, 806401, 2.09,    19,  5568
3x3, 37791.txt, astar, NMaxSwap, 2693370, 2.23,    19, 51595
3x3, 37792.txt, astar, NMaxSwap, 1038765, 2.12,    19,  7500
3x3, 37793.txt, astar, NMaxSwap, 248461, 1.96,    19,  2092
3x3, 37794.txt, astar, NMaxSwap, 10222757, 2.41,    19, 513017
3x3, 37795.txt, astar, NMaxSwap, 817496, 2.09,    19,  5928
