boardID,algo,heur,size,expanded,branching,time,cost
54797.txt,astar,linearConflict,3x3,10690,0.59,407,20
54798.txt,astar,linearConflict,3x3,2680,0.47,197,20
54799.txt,astar,linearConflict,3x3,1771,0.44,176,20
54801.txt,astar,linearConflict,3x3,20078,0.65,585,20
54802.txt,astar,linearConflict,3x3,318,0.3,95,20
1.txt,astar,linearConflict,4x4,1,2.0,37,1
2.txt,astar,linearConflict,4x4,1,2.0,37,1
3.txt,astar,linearConflict,4x4,2,1.19,40,2
4.txt,astar,linearConflict,4x4,2,1.0,41,2
5.txt,astar,linearConflict,4x4,0,0.0,3,0
6.txt,astar,linearConflict,4x4,2,1.19,40,2
7.txt,astar,linearConflict,4x4,2,1.0,41,2
10.txt,astar,linearConflict,4x4,3,0.58,41,3
11.txt,astar,linearConflict,4x4,3,0.81,44,3
12.txt,astar,linearConflict,4x4,3,0.74,42,3
13.txt,astar,linearConflict,4x4,3,0.58,41,3
14.txt,astar,linearConflict,4x4,3,0.74,44,3
15.txt,astar,linearConflict,4x4,3,0.74,42,3
16.txt,astar,linearConflict,4x4,3,0.81,43,3
17.txt,astar,linearConflict,4x4,3,0.81,43,3
8.txt,astar,linearConflict,4x4,3,0.81,42,3
9.txt,astar,linearConflict,4x4,3,0.74,43,3
18.txt,astar,linearConflict,4x4,4,0.61,45,4
19.txt,astar,linearConflict,4x4,4,0.61,43,4
20.txt,astar,linearConflict,4x4,4,0.53,44,4
21.txt,astar,linearConflict,4x4,4,0.45,44,4
22.txt,astar,linearConflict,4x4,4,0.57,45,4
23.txt,astar,linearConflict,4x4,4,0.49,44,4
24.txt,astar,linearConflict,4x4,4,0.49,43,4
25.txt,astar,linearConflict,4x4,4,0.57,45,4
26.txt,astar,linearConflict,4x4,4,0.57,43,4
27.txt,astar,linearConflict,4x4,4,0.57,44,4
28.txt,astar,linearConflict,4x4,4,0.57,45,4
29.txt,astar,linearConflict,4x4,4,0.57,44,4
30.txt,astar,linearConflict,4x4,4,0.57,43,4
31.txt,astar,linearConflict,4x4,4,0.57,45,4
32.txt,astar,linearConflict,4x4,4,0.61,44,4
33.txt,astar,linearConflict,4x4,4,0.57,44,4
34.txt,astar,linearConflict,4x4,4,0.57,44,4
35.txt,astar,linearConflict,4x4,4,0.53,45,4
36.txt,astar,linearConflict,4x4,4,0.45,42,4
37.txt,astar,linearConflict,4x4,4,0.57,45,4
38.txt,astar,linearConflict,4x4,4,0.53,43,4
39.txt,astar,linearConflict,4x4,4,0.53,43,4
40.txt,astar,linearConflict,4x4,4,0.57,45,4
41.txt,astar,linearConflict,4x4,4,0.61,44,4
71.txt,astar,linearConflict,4x4,5,0.39,45,5
72.txt,astar,linearConflict,4x4,5,0.42,46,5
73.txt,astar,linearConflict,4x4,5,0.39,44,5
74.txt,astar,linearConflict,4x4,5,0.44,46,5
